t_sr,t_stdp,t_stdp_asymm,a_stdp_asymm,f,k,R_10_w,R_10_nw,SNR_10_w,SNR_10_nw,R_60_w,R_60_nw,SNR_60_w,SNR_60_nw
4.0,0.02,2.5,-0.5,0.6,1.5,0.08539,0.4387,16.22306,5.4807,0.09697,0.62532,38.37797,14.33229
4.0,0.03,2.0,-0.4,0.6,1.5,0.6917,0.56464,15.87882,6.22186,0.75299,0.74807,41.02955,14.01287
4.0,0.02,1.5,-0.45,0.8,1.5,0.69002,0.61134,20.34706,7.9186,0.72741,0.73217,50.29673,18.63074
4.0,0.02,2.0,-0.5,0.6,1.0,0.31592,0.00336,8.8491,1.23202,0.41265,0.00869,22.08234,2.39509
5.0,0.03,1.5,-0.5,0.8,0.5,0.71115,0.578,7.94896,6.61241,0.84828,0.71723,19.64011,17.25687
5.0,0.02,1.5,-0.5,0.6,0.5,0.66525,0.50027,6.91049,5.8017,0.85293,0.67801,16.82373,14.72138
5.0,0.03,2.5,-0.5,0.8,1.0,0.01642,0.41727,12.11762,6.67634,0.0189,0.55771,26.27223,17.03644
4.0,0.03,1.5,-0.5,0.6,0.5,0.73259,0.59046,7.93483,7.06224,0.88298,0.73871,19.76032,16.73909
5.0,0.02,2.0,-0.5,0.6,1.0,0.35303,0.00027,9.96867,0.85812,0.44289,0.00221,22.92142,2.13208
5.0,0.02,1.5,-0.5,0.8,1.0,0.69013,0.52002,12.12762,6.17314,0.78151,0.6848,29.3383,14.48777
5.0,0.03,2.0,-0.4,0.8,0.5,0.65892,0.54529,6.69154,5.92265,0.859,0.72735,16.44317,13.61106
4.0,0.03,2.0,-0.4,0.6,0.5,0.71096,0.56589,6.76242,6.05346,0.89262,0.74915,17.10494,14.05211
4.0,0.02,2.0,-0.4,0.6,1.5,0.6997,0.46529,17.78648,4.57198,0.75227,0.68821,40.96526,11.35903
4.0,0.02,1.5,-0.45,0.6,1.5,0.78705,0.61756,17.47749,7.79946,0.83306,0.72712,43.69395,17.84365
5.0,0.03,2.5,-0.4,0.8,1.0,0.2832,0.01608,10.97474,2.16646,0.33856,0.04196,25.54533,3.38532
4.0,0.02,1.5,-0.5,0.6,1.5,0.70242,0.53356,18.07742,5.90558,0.75565,0.71864,43.34011,14.05
4.0,0.02,2.0,-0.4,0.8,1.5,0.59769,0.45319,20.44659,4.95148,0.633,0.68435,48.97143,11.23313
4.0,0.03,2.0,-0.5,0.8,0.5,0.09047,0.00434,4.04225,1.12612,0.20743,0.02531,9.63244,2.24697
4.0,0.03,2.0,-0.45,0.8,1.5,0.43584,0.28617,19.10445,2.9555,0.47645,0.68977,45.94791,7.53294
4.0,0.03,2.0,-0.4,0.8,1.0,0.70528,0.54766,12.36217,5.53138,0.79293,0.75767,29.19482,14.31561
4.0,0.03,2.0,-0.45,0.8,1.0,0.4879,0.32365,11.15235,3.20459,0.60032,0.66145,27.33776,8.08165
4.0,0.03,2.0,-0.5,0.8,1.5,0.25954,0.00108,19.13786,1.03402,0.2871,0.01661,47.64599,2.32177
4.0,0.03,2.5,-0.4,0.6,1.0,0.311,0.00589,8.91325,1.34557,0.39446,0.02998,21.63775,2.89931
4.0,0.02,2.5,-0.45,0.8,1.0,0.05982,0.23144,11.16997,3.24935,0.078,0.49375,26.32423,8.26266
5.0,0.02,1.5,-0.45,0.6,0.5,0.72456,0.58288,8.98834,7.59014,0.83848,0.69803,20.48257,18.00455
4.0,0.03,2.0,-0.5,0.6,1.0,0.28278,0.0075,9.8291,1.7,0.35841,0.0251,21.46958,2.43122
4.0,0.03,2.5,-0.4,0.8,1.0,0.24782,0.01055,10.59127,1.75442,0.31091,0.03204,26.4836,2.52274
4.0,0.02,2.0,-0.45,0.6,1.5,0.56218,0.24484,16.86156,2.46055,0.60869,0.55875,39.88539,5.56299
4.0,0.03,2.5,-0.4,0.6,1.5,0.37696,0.00573,15.52686,1.87741,0.41801,0.02328,41.58761,2.49226
4.0,0.03,2.5,-0.5,0.6,1.0,0.02088,0.4659,9.59577,6.30486,0.02244,0.60955,23.80604,16.97376
4.0,0.02,2.5,-0.4,0.8,0.5,0.1057,0.00072,3.77917,1.15308,0.2436,0.00591,9.05321,2.11454
5.0,0.03,1.5,-0.5,0.8,1.5,0.65311,0.54675,19.36986,6.89133,0.68613,0.70884,48.56478,16.35026
4.0,0.03,2.0,-0.5,0.6,0.5,0.0974,0.0052,3.56824,1.66317,0.2472,0.01847,8.18976,2.29953
5.0,0.02,1.5,-0.45,0.6,1.0,0.83048,0.58171,11.54841,7.61717,0.91786,0.70303,28.27137,19.18612
5.0,0.02,1.5,-0.5,0.6,1.5,0.71412,0.52109,17.15213,6.1487,0.77044,0.67065,40.93672,13.69816
4.0,0.02,1.5,-0.45,0.8,1.0,0.77996,0.60908,12.22505,7.58052,0.85987,0.72363,30.08188,18.13185
4.0,0.03,2.0,-0.45,0.6,1.5,0.52881,0.29826,16.0211,2.75644,0.58038,0.66375,38.38459,6.82146
4.0,0.03,2.5,-0.45,0.8,0.5,0.05713,0.27982,4.92025,3.97725,0.11605,0.4938,10.63278,9.23038
5.0,0.03,2.5,-0.5,0.6,0.5,0.23889,0.47696,6.34568,7.06894,0.32436,0.57431,16.03793,17.01269
4.0,0.02,1.5,-0.4,0.8,1.5,0.76053,0.664,21.47918,9.87756,0.79755,0.73437,50.9654,21.65531
4.0,0.03,2.5,-0.5,0.8,0.5,0.27282,0.47589,6.90699,6.71826,0.36444,0.60283,17.03977,17.10862
4.0,0.03,2.0,-0.4,0.8,1.5,0.60456,0.56855,18.99622,6.0383,0.65488,0.75443,46.31152,14.48999
5.0,0.03,2.0,-0.5,0.8,1.0,0.25339,0.00445,10.93166,1.32197,0.30616,0.03176,26.95708,2.03677
4.0,0.03,2.0,-0.4,0.6,1.0,0.77007,0.57058,11.19376,6.07379,0.8686,0.75967,26.40308,13.9278
5.0,0.03,2.0,-0.5,0.6,0.5,0.12026,0.00273,3.88851,1.63179,0.2733,0.02005,7.71034,2.79398
5.0,0.03,2.0,-0.45,0.8,1.0,0.52665,0.30974,11.14277,3.3522,0.61073,0.63651,26.77437,7.25018
4.0,0.03,1.5,-0.4,0.6,1.0,0.88392,0.68326,14.3736,10.97525,0.93847,0.74793,35.1598,28.12257
4.0,0.03,2.0,-0.5,0.6,1.5,0.3439,0.00484,16.48386,1.28787,0.37424,0.01865,39.08837,2.40634
5.0,0.03,1.5,-0.5,0.6,0.5,0.70605,0.58805,7.84354,6.99766,0.8564,0.71529,18.97722,16.73984
4.0,0.02,2.0,-0.4,0.6,0.5,0.64584,0.43092,5.71704,4.73955,0.87238,0.69686,14.14832,10.81998
5.0,0.03,1.5,-0.45,0.6,1.0,0.85266,0.63877,12.51003,8.91773,0.92308,0.7192,28.82416,23.24332
4.0,0.03,2.0,-0.5,0.8,1.0,0.23428,0.00518,10.3231,1.66046,0.27915,0.02436,26.50153,2.75013
4.0,0.03,1.5,-0.45,0.8,1.0,0.7963,0.65239,13.54138,9.26389,0.87835,0.74681,32.31701,22.5026
4.0,0.02,2.5,-0.45,0.8,1.5,0.16792,0.23486,20.46468,3.62699,0.18201,0.45786,48.28814,7.97448
5.0,0.03,2.5,-0.45,0.8,0.5,0.05777,0.26777,4.61942,3.74102,0.09544,0.43258,11.03237,9.48324
5.0,0.02,2.0,-0.4,0.6,1.5,0.71559,0.43482,16.584,4.6585,0.76541,0.67809,42.56045,11.3982
4.0,0.03,1.5,-0.5,0.8,1.5,0.63756,0.61496,19.40512,6.97105,0.67296,0.74658,48.78642,16.50287
4.0,0.03,1.5,-0.45,0.8,0.5,0.76011,0.67017,10.06513,8.94518,0.85792,0.75603,24.91955,22.10684
4.0,0.03,1.5,-0.4,0.8,1.5,0.79129,0.68949,20.81275,11.05042,0.82957,0.75853,49.57562,27.35887
4.0,0.02,1.5,-0.4,0.8,1.0,0.82519,0.65078,14.31614,9.31695,0.88542,0.7385,33.00898,22.79903
4.0,0.03,1.5,-0.5,0.6,1.5,0.73201,0.63923,18.03309,7.41132,0.76965,0.74884,43.05894,17.29981
4.0,0.03,1.5,-0.5,0.8,0.5,0.72302,0.59276,8.44073,6.98086,0.86431,0.75317,19.40134,17.03638
4.0,0.02,1.5,-0.4,0.6,1.0,0.87397,0.65323,13.76848,9.45136,0.93659,0.73742,33.19771,23.23314
4.0,0.02,2.5,-0.4,0.6,1.0,0.3812,0.00157,9.07639,1.50933,0.47743,0.0053,21.99353,2.33248
4.0,0.03,1.5,-0.5,0.8,1.0,0.74448,0.59037,12.06349,7.1112,0.82204,0.74771,28.71452,16.92008
4.0,0.03,2.0,-0.45,0.8,0.5,0.45616,0.32656,4.59321,3.36041,0.77252,0.67295,10.50803,6.71415
4.0,0.02,1.5,-0.4,0.6,0.5,0.75516,0.64789,10.03899,9.32981,0.85238,0.7434,24.99218,22.79584
4.0,0.03,1.5,-0.5,0.6,1.0,0.79569,0.59065,10.98364,7.11801,0.89424,0.73966,25.90067,16.58285
4.0,0.02,1.5,-0.4,0.8,0.5,0.74525,0.66715,10.3415,9.80611,0.84142,0.73239,26.45308,22.68763
4.0,0.02,2.5,-0.45,0.6,1.0,0.09316,0.21894,10.07977,3.10792,0.12356,0.47508,22.9834,8.07925
4.0,0.02,2.0,-0.5,0.6,0.5,0.09302,0.00214,3.17449,1.06872,0.25665,0.00504,7.47218,1.97566
4.0,0.02,1.5,-0.5,0.8,0.5,0.66205,0.52182,7.43209,5.94963,0.85575,0.70889,17.30315,13.22115
4.0,0.02,1.5,-0.5,0.8,1.0,0.70434,0.53668,12.44723,5.67075,0.79315,0.7204,29.26011,13.58056
4.0,0.03,1.5,-0.45,0.6,0.5,0.76817,0.64747,10.02889,9.94292,0.86437,0.74764,23.66158,22.30923
4.0,0.02,2.0,-0.45,0.8,1.5,0.44846,0.20776,19.58792,2.44832,0.48341,0.56803,48.15932,5.60316
4.0,0.02,2.0,-0.45,0.8,0.5,0.41722,0.23569,4.16799,2.65715,0.74725,0.57172,10.81704,6.2671
4.0,0.02,2.5,-0.4,0.8,1.0,0.30467,0.00124,11.3986,1.56697,0.35819,0.0018,26.59547,2.45881
4.0,0.02,2.5,-0.4,0.6,1.5,0.45093,0.00162,15.97337,1.62119,0.49751,0.01103,40.76763,2.30043
4.0,0.03,1.5,-0.4,0.6,1.5,0.85744,0.69997,17.00089,11.50816,0.90295,0.75023,42.44884,27.17459
4.0,0.02,2.0,-0.5,0.6,1.5,0.39355,1e-05,16.53323,0.90151,0.43267,3e-05,38.9895,1.72712
4.0,0.02,2.0,-0.45,0.6,1.0,0.56282,0.2145,10.12282,2.74013,0.69788,0.54546,23.43992,6.40785
4.0,0.02,2.0,-0.4,0.6,1.0,0.75266,0.49163,10.7475,4.87529,0.86018,0.69448,25.77221,11.35046
