kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
0.05,0.02,5.0,0.99,0.5,0.76645,-3.14515,0.41797,0.45764
0.05,0.025,3.0,0.9,0.6,0.88163,-1.7416,0.30032,0.31717
1.0,0.03,3.0,0.9,0.5,0.87572,-1.56439,0.30661,0.29656
0.5,0.025,3.0,0.99,0.5,0.33383,-6.82836,0.78784,0.90554
0.5,0.03,5.0,0.99,0.5,0.44118,-6.78797,0.75783,0.85951
0.1,0.03,3.0,0.95,0.7,0.95979,-0.58336,0.21428,0.18322
0.1,0.025,5.0,0.99,0.7,0.70491,-3.86095,0.50874,0.53659
0.1,0.03,4.0,0.95,0.5,0.96146,-0.43966,0.17934,0.16247
0.1,0.025,3.0,0.95,0.7,0.95105,-0.73058,0.22259,0.20025
0.5,0.025,5.0,0.9,0.5,0.93518,-0.82257,0.24375,0.20117
1.0,0.03,3.0,0.9,0.7,0.73516,-2.85174,0.4528,0.44546
0.05,0.025,3.0,0.95,0.6,0.9456,-0.85525,0.22447,0.21457
0.1,0.025,4.0,0.9,0.5,0.86206,-1.82191,0.33569,0.31857
0.1,0.03,3.0,0.99,0.6,0.5767,-4.52969,0.68193,0.6396
0.05,0.025,4.0,0.99,0.6,0.74088,-3.2614,0.52775,0.48087
0.1,0.03,4.0,0.95,0.7,0.95266,-0.61338,0.1861,0.18209
0.01,0.02,4.0,0.95,0.5,0.89966,-1.3698,0.27053,0.26745
0.5,0.03,3.0,0.9,0.7,0.93185,-0.86989,0.23742,0.21625
1.0,0.02,4.0,0.9,0.7,0.65902,-3.63566,0.5511,0.52341
0.5,0.025,3.0,0.95,0.7,0.74692,-2.7908,0.41147,0.4387
0.01,0.025,5.0,0.99,0.5,0.777,-3.18406,0.46767,0.46186
1.0,0.025,5.0,0.95,0.6,0.55761,-4.88523,0.61784,0.6497
0.5,0.02,4.0,0.99,0.5,0.38934,-6.863,0.75735,0.88724
0.5,0.025,5.0,0.9,0.7,0.89998,-1.41682,0.32756,0.26677
0.5,0.02,3.0,0.9,0.6,0.92907,-0.93037,0.24207,0.22326
0.5,0.025,5.0,0.95,0.5,0.88441,-1.76623,0.30586,0.30525
0.1,0.03,5.0,0.95,0.7,0.95284,-0.53887,0.20021,0.16987
0.5,0.025,3.0,0.95,0.5,0.85359,-1.79248,0.32013,0.32316
0.05,0.025,5.0,0.95,0.6,0.90665,-1.19132,0.27492,0.2419
